CAS Reg. No.,PubChem SMILES,Mol. wt.,JR Tc /K,CRC Tc /K
124-40-3,CNC,45.085000000000015,464.41335438020144,437.5
288-42-6,C1=COC=N1,69.06299999999999,588.8144279,551.0
108-89-4,CC1=CC=NC=C1,93.12899999999996,645.5112071751093,645.8
107-15-3,C(CN)N,60.100000000000016,591.6251984509911,613.1
111-26-2,CCCCCCN,101.19299999999993,589.4301742,592.3
353-85-5,C(#N)C(F)(F)F,95.023,516.3066056329319,311.1
108-91-8,C1CCC(CC1)N,99.17699999999994,649.9489954586452,626.8
75-04-7,CCN,45.085000000000015,499.8182343358382,456.5
108-44-1,CC1=CC(=CC=C1)N,107.15599999999996,692.1042798493484,709.0
109-76-2,C(CN)CN,74.12699999999995,612.7261940714819,632.0
100-47-0,C1=CC=C(C=C1)C#N,103.12399999999997,724.5657896526423,691.0
111-86-4,CCCCCCCCN,129.24699999999993,632.5433806816498,641.0
74-89-5,CN,31.058,476.1440239397746,430.6
877-43-0,CC1=CC2=C(C=C1)N=C(C=C2)C,157.2160000000001,805.4823490813657,786.0
609-72-3,CC1=CC=CC=C1N(C)C,135.21000000000004,655.5807679822063,668.0
108-99-6,CC1=CN=CC=C1,93.12899999999996,645.5112071751093,644.8
109-89-7,CCNCC,73.13899999999995,511.6505862303792,499.5
110-85-0,C1CNCCN1,86.13799999999995,641.0977812458226,660.0
108-47-4,CC1=CC(=NC=C1)C,107.15599999999996,671.7053724463082,647.1
75-31-0,CC(C)N,59.11200000000002,527.0376933771727,472.2
33966-50-6,CCC(C)N,73.13899999999995,549.4705319,514.3
75-52-5,C[N+](=O)[O-],61.04000000000001,588.1501139,588.0
90-41-5,C1=CC=C(C=C1)C2=CC=CC=C2N,169.2270000000001,864.1014361939148,838.0
646-25-3,C(CCCCCN)CCCCN,172.31600000000023,757.7128524885583,736.0
628-73-9,CCCCCC#N,97.16099999999994,627.9648561133465,633.8
111-40-0,C(CNCCN)N,103.16899999999994,686.2596150249357,710.0
110-59-8,CCCCC#N,83.13399999999996,606.8049659303688,610.3
62-53-3,C1=CC=C(C=C1)N,93.12899999999996,666.3174417,704.0
123-82-0,CCCCCC(C)N,115.21999999999991,614.6786281215651,598.0
123-75-1,C1CCNC1,71.12299999999998,568.7166316641785,568.6
373-44-4,C(CCCCN)CCCN,144.26200000000014,716.1206924,712.0
100-61-8,CNC1=CC=CC=C1,107.15599999999992,651.9902142781123,702.0
75-50-3,CN(C)C,59.112000000000016,440.1971721989608,433.0
460-19-5,C(#N)C#N,52.036,671.0381876738202,397.0
108-48-5,CC1=NC(=CC=C1)C,107.15599999999992,671.7053724463082,623.8
119-65-3,C1=CC=C2C=NC=CC2=C1,129.16199999999998,757.7796881032957,803.0
589-93-5,CC1=CN=C(C=C1)C,107.15599999999996,671.7053724463082,644.2
109-06-8,CC1=CC=CC=N1,93.12899999999996,645.5112071751093,622.0
583-61-9,CC1=C(N=CC=C1)C,107.15599999999996,671.7053724463082,655.5
107-12-0,CCC#N,55.08000000000001,563.7505818359051,561.3
109-97-7,C1=CNC=C1,67.09099999999998,571.6983962417722,639.7
109-74-0,CCCC#N,69.10699999999997,585.4280961564159,585.4
2783-17-7,C(CCCCCCN)CCCCCN,200.37000000000023,800.1128391428194,767.0
121-44-8,CCN(CC)CC,101.19299999999993,511.8911604388847,535.6
290-37-9,C1=CN=CC=N1,80.08999999999997,667.4640698414377,627.0
124-09-4,C(CCCN)CCN,116.20799999999991,674.9047033550581,685.0
591-22-0,CC1=CC(=CN=C1)C,107.15599999999996,671.7053724463082,667.3
95-53-4,CC1=CC=CC=C1N,107.15599999999996,692.1042798493484,710.0
91-22-5,C1=CC=C2C(=C1)C=CC=N2,129.16199999999998,757.7796881032957,782.0
107-13-1,C=CC#N,53.06400000000001,564.8147555346306,540.0
611-32-5,CC1=C2C(=CC=C1)C=CC=N2,143.18900000000005,781.6830677930685,787.0
108-18-9,CC(C)NC(C)C,101.19299999999993,564.2000467495484,523.1
107-11-9,C=CCN,57.09600000000002,523.5856035852014,540.0
121-69-7,CN(C)C1=CC=CC=C1,121.18299999999992,628.736327,687.7
110-96-3,CC(C)CNCC(C)C,129.24699999999993,607.8981155,584.4
110-89-4,C1CCNCC1,85.14999999999995,603.5491693533033,594.14
75-64-9,CC(C)(C)N,73.13899999999995,555.0374313,483.7
91-63-4,CC1=NC2=CC=CC=C2C=C1,143.18900000000005,781.6830677930685,778.0
